1 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1203692519_5.ts 17 : 24 : 42
5 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1203692519_5.ts 17 : 24 : 43
200 http://192.168.0.124:1935/vod/mp4:sample.mp4/playlist.m3u8 17 : 51 : 46
200 http://192.168.0.124:1935/vod/mp4:sample.mp4/chunklist_w197373128.m3u8 17 : 51 : 46
200 http://192.168.0.124:1935/vod/mp4:sample.mp4/playlist.m3u8 18 : 14 : 34
200 http://192.168.0.124:1935/vod/mp4:sample.mp4/chunklist_w1356148532.m3u8 18 : 14 : 34
1 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_0.ts 18 : 14 : 35
6 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_0.ts 18 : 14 : 36
4 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_0.ts 18 : 14 : 36
7 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_0.ts 18 : 14 : 36
3 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_0.ts 18 : 14 : 38
2 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_0.ts 18 : 14 : 39
8 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_0.ts 18 : 14 : 39
0 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_0.ts 18 : 14 : 41
5 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_0.ts 18 : 14 : 42
9 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_0.ts 18 : 14 : 44
1 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_1.ts 18 : 14 : 45
6 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_1.ts 18 : 14 : 45
4 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_1.ts 18 : 14 : 46
7 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_1.ts 18 : 14 : 46
3 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_1.ts 18 : 14 : 48
2 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_1.ts 18 : 14 : 49
8 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_1.ts 18 : 14 : 50
0 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_1.ts 18 : 14 : 51
5 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_1.ts 18 : 14 : 52
9 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_1.ts 18 : 14 : 54
1 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_2.ts 18 : 14 : 55
6 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_2.ts 18 : 14 : 56
7 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_2.ts 18 : 14 : 56
4 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_2.ts 18 : 14 : 56
3 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_2.ts 18 : 14 : 58
8 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_2.ts 18 : 14 : 59
